FREE t @ 0000016CB719AD50 | ast.c:401
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A20 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AE10 | tokens.c:136
FREE (t)->string @ 0000016CB71A2A20 | ast.c:404
FREE t @ 0000016CB719AE10 | ast.c:404
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A00 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AC90 | tokens.c:136
MALLOC strlen(t->string) + 1 (4) @ 0000016CB71A2B00 | ast.c:213
FREE (t)->string @ 0000016CB71A2A00 | ast.c:226
FREE t @ 0000016CB719AC90 | ast.c:226
MALLOC sizeof(VarDecl) (24) @ 0000016CB719AF30 | ast.c:406
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A00 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AF50 | tokens.c:136
REALLOC (&exprs)->elements @ 0000000000000000 with ((&exprs)->capacity) * sizeof(expr) (16) -> @ 0000016CB719AFB0 | ast.c:524
FREE (t)->string @ 0000016CB71A2A00 | ast.c:525
FREE t @ 0000016CB719AF50 | ast.c:525
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2B70 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719ADF0 | tokens.c:136
MALLOC sizeof(Expression) (32) @ 0000016CB7199F60 | ast.c:263
FREE t @ 0000016CB719ADF0 | ast.c:285
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2B10 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AE50 | tokens.c:136
FREE (t)->string @ 0000016CB71A2B10 | ast.c:368
FREE t @ 0000016CB719AE50 | ast.c:368
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A50 | tokens.c:98
REALLOC tok @ 0000016CB71A2A50 with (tok_cap) * sizeof('\0') (72) -> @ 0000016CB719F500 | tokens.c:134
MALLOC sizeof(Token) (16) @ 0000016CB719AC50 | tokens.c:136
FREE t @ 0000016CB719AC50 | ast.c:239
MALLOC sizeof(Expression) (32) @ 0000016CB7199E10 | ast.c:240
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A70 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AD30 | tokens.c:136
MALLOC sizeof(FieldAccess) (16) @ 0000016CB719AE90 | ast.c:370
MALLOC sizeof(Expression) (32) @ 0000016CB7199F90 | ast.c:373
FREE (t)->string @ 0000016CB71A2A70 | ast.c:455
FREE t @ 0000016CB719AD30 | ast.c:455
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A29D0 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AE50 | tokens.c:136
MALLOC sizeof(Assign) (16) @ 0000016CB719AF50 | ast.c:462
MALLOC sizeof(Expression) (32) @ 0000016CB7199E40 | ast.c:263
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A10 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719ACB0 | tokens.c:136
MALLOC sizeof(Expression) (32) @ 0000016CB7199DE0 | ast.c:465
FREE (t)->string @ 0000016CB71A2A10 | ast.c:525
FREE t @ 0000016CB719ACB0 | ast.c:525
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A00 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719ACD0 | tokens.c:136
MALLOC sizeof(Expression) (32) @ 0000016CB7199D80 | ast.c:263
FREE t @ 0000016CB719ACD0 | ast.c:285
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A90 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719ADD0 | tokens.c:136
FREE (t)->string @ 0000016CB71A2A90 | ast.c:368
FREE t @ 0000016CB719ADD0 | ast.c:368
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A10 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AC70 | tokens.c:136
FREE t @ 0000016CB719AC70 | ast.c:239
MALLOC sizeof(Expression) (32) @ 0000016CB7199DB0 | ast.c:240
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2B30 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AC50 | tokens.c:136
MALLOC sizeof(FieldAccess) (16) @ 0000016CB719ACD0 | ast.c:370
MALLOC sizeof(Expression) (32) @ 0000016CB7199C30 | ast.c:373
FREE (t)->string @ 0000016CB71A2B30 | ast.c:455
FREE t @ 0000016CB719AC50 | ast.c:455
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2B30 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AC50 | tokens.c:136
MALLOC sizeof(Assign) (16) @ 0000016CB719ACB0 | ast.c:462
MALLOC sizeof(Expression) (32) @ 0000016CB7199C60 | ast.c:263
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2B10 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AC70 | tokens.c:136
MALLOC sizeof(Expression) (32) @ 0000016CB71A5950 | ast.c:465
REALLOC (&exprs)->elements @ 0000016CB719AFB0 with ((&exprs)->capacity) * sizeof(expr) (48) -> @ 0000016CB719AAC0 | ast.c:524
FREE (t)->string @ 0000016CB71A2B10 | ast.c:525
FREE t @ 0000016CB719AC70 | ast.c:525
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2AA0 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719ADD0 | tokens.c:136
MALLOC sizeof(Expression) (32) @ 0000016CB71A5680 | ast.c:263
FREE t @ 0000016CB719ADD0 | ast.c:285
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A29E0 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AD50 | tokens.c:136
FREE (t)->string @ 0000016CB71A29E0 | ast.c:368
FREE t @ 0000016CB719AD50 | ast.c:368
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A29E0 | tokens.c:98
REALLOC tok @ 0000016CB71A29E0 with (tok_cap) * sizeof('\0') (72) -> @ 0000016CB719F320 | tokens.c:134
MALLOC sizeof(Token) (16) @ 0000016CB719AFB0 | tokens.c:136
FREE t @ 0000016CB719AFB0 | ast.c:239
MALLOC sizeof(Expression) (32) @ 0000016CB71A55F0 | ast.c:240
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A50 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AC70 | tokens.c:136
MALLOC sizeof(FieldAccess) (16) @ 0000016CB719AD50 | ast.c:370
MALLOC sizeof(Expression) (32) @ 0000016CB71A5620 | ast.c:373
FREE (t)->string @ 0000016CB71A2A50 | ast.c:455
FREE t @ 0000016CB719AC70 | ast.c:455
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A29E0 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AFB0 | tokens.c:136
MALLOC sizeof(Assign) (16) @ 0000016CB719AC70 | ast.c:462
MALLOC sizeof(Expression) (32) @ 0000016CB71A55C0 | ast.c:263
FREE t @ 0000016CB719AFB0 | ast.c:285
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2B10 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AE10 | tokens.c:136
MALLOC sizeof(Expression) (32) @ 0000016CB71A5980 | ast.c:465
FREE (t)->string @ 0000016CB71A2B10 | ast.c:525
FREE t @ 0000016CB719AE10 | ast.c:525
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A20 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AFB0 | tokens.c:136
MALLOC sizeof(Expression) (32) @ 0000016CB71A5AA0 | ast.c:387
FREE (t)->string @ 0000016CB71A2A20 | ast.c:388
FREE t @ 0000016CB719AFB0 | ast.c:388
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A20 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AD30 | tokens.c:136
MALLOC sizeof(Expression) (32) @ 0000016CB71A5470 | ast.c:263
FREE t @ 0000016CB719AD30 | ast.c:285
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A50 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AFB0 | tokens.c:136
FREE (t)->string @ 0000016CB71A2A50 | ast.c:525
FREE t @ 0000016CB719AFB0 | ast.c:525
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2B10 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AE10 | tokens.c:136
FREE (t)->string @ 0000016CB71A2B10 | ast.c:529
FREE t @ 0000016CB719AE10 | ast.c:529
MALLOC sizeof(Block) (24) @ 0000016CB719AC90 | ast.c:530
REALLOC (&funcs)->elements @ 0000000000000000 with ((&funcs)->capacity) * sizeof(func) (16) -> @ 0000016CB719AE70 | ast.c:786
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A60 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AFB0 | tokens.c:136
FREE (t)->string @ 0000016CB71A2A60 | ast.c:604
FREE t @ 0000016CB719AFB0 | ast.c:604
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A50 | tokens.c:98
